,CNT,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST28Q09,ST28Q10,ST28Q11,ST25Q01,ST25Q02,ST25Q03,ST25Q04,ST25Q05,ST26Q01,ST26Q02,ST26Q03,ST26Q04,ST26Q05,ST26Q06,ST26Q07,ST27Q01,ST27Q02,ST27Q03,ST27Q04
68052,Teacher,Disagree(D),Disagree(D),Agree(A),Agree(A),Strongly Disagree(SD),Strongly Disagree(SD),Disagree(D),Agree(A),increases competition and urge to work harder,Strongly Agree(SA),Agree(A),Several times a week,A few times a year,About once a month,Never or almost never,Several times a week,Several times a month,Agree(A),Un Decided(UN),helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),these forum should be more regular throughout learners study from form one to form four
68053,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),acts as a motivation amongest students,Strongly Agree(SA),Strongly Agree(SA),Never or almost never,A few times a year,Several times a week,Never or almost never,Never or almost never,Several times a week,Strongly Agree(SA),Strongly Disagree(SD),make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),they make the students have the motiv or develop positive attitude towards some challenging subjects
68054,Teacher,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Disagree(D),Disagree(D),Strongly Disagree(SD),Strongly Disagree(SD),None,Strongly Agree(SA),Strongly Agree(SA),About once a month,About once a month,Several times a week,A few times a year,Several times a month,Several times a day,Agree(A),Strongly Disagree(SD),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),help them overcome their limitations
68055,Teacher,Disagree(D),Agree(A),Agree(A),Disagree(D),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it has positive impact but may be shortlived,Strongly Agree(SA),Agree(A),About once a month,A few times a year,Several times a month,Never or almost never,Never or almost never,Several times a week,Strongly Agree(SA),Disagree(D),they become more exposed to reality,to change students attitude towards education,Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it makes students have the right attitude towards education and highier goals
68056,Teacher,Disagree(D),Agree(A),Agree(A),Agree(A),Agree(A),Disagree(D),Agree(A),Agree(A),give the students a driving force,Agree(A),Agree(A),A few times a year,Several times a month,Several times a week,A few times a year,Never or almost never,Several times a day,Agree(A),Agree(A),gives students confidence,the students get an opportunity to hear from others with different experience,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),offer quality inspiration
68057,Teacher,Agree(A),Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),None,Agree(A),Strongly Agree(SA),A few times a year,A few times a year,About once a month,About once a month,Several times a month,Several times a week,Strongly Agree(SA),Agree(A),None,None,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),None
68058,Teacher,Agree(A),Un Decided(UN),Disagree(D),Un Decided(UN),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),helps in our school by having enough revision material and enough chemicals for practical work,Agree(A),Un Decided(UN),About once a month,Never or almost never,Several times a month,About once a month,Several times a month,Several times a week,Strongly Agree(SA),Disagree(D),encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Agree(A),Agree(A),have postive influence on how learners have the interest on the area of specialization
68059,Teacher,Disagree(D),Disagree(D),Disagree(D),Disagree(D),Un Decided(UN),Un Decided(UN),Un Decided(UN),Un Decided(UN),enhances competition among student,Agree(A),Agree(A),Several times a week,Never or almost never,A few times a year,About once a month,Several times a week,Several times a day,Un Decided(UN),Disagree(D),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),None
68060,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Disagree(D),Strongly Agree(SA),Agree(A),Agree(A),Un Decided(UN),None,Agree(A),Un Decided(UN),Several times a week,A few times a year,A few times a year,About once a month,Several times a week,Several times a day,Agree(A),Un Decided(UN),help the student to learn more about their county,to add on the students experience,Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),it helps the student understand themselves better and hence self actualisation
68061,Teacher,Un Decided(UN),Agree(A),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),its the most effective method to motivate students,Un Decided(UN),Agree(A),Several times a month,A few times a year,Several times a month,About once a month,Several times a month,Several times a month,Agree(A),Un Decided(UN),have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Strongly Agree(SA),they give real life expereince of how they personally passed thus students gets inspired
68062,Teacher,Disagree(D),Disagree(D),Agree(A),Agree(A),Strongly Disagree(SD),Strongly Disagree(SD),Disagree(D),Agree(A),increases competition and urge to work harder,Strongly Agree(SA),Agree(A),A few times a year,Never or almost never,A few times a year,About once a month,Never or almost never,Several times a week,Agree(A),Un Decided(UN),helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),these forum should be more regular throughout learners study from form one to form four
68063,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),acts as a motivation amongest students,Strongly Agree(SA),Strongly Agree(SA),Several times a month,A few times a year,About once a month,Never or almost never,A few times a year,Several times a week,Strongly Agree(SA),Strongly Disagree(SD),make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),they make the students have the motiv or develop positive attitude towards some challenging subjects
68064,Teacher,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Disagree(D),Disagree(D),Strongly Disagree(SD),Strongly Disagree(SD),None,Strongly Agree(SA),Strongly Agree(SA),A few times a year,Never or almost never,About once a month,Never or almost never,Several times a month,Several times a week,Agree(A),Strongly Disagree(SD),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),help them overcome their limitations
68065,Teacher,Disagree(D),Agree(A),Agree(A),Disagree(D),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it has positive impact but may be shortlived,Strongly Agree(SA),Agree(A),About once a month,Never or almost never,Never or almost never,Never or almost never,Several times a month,Never or almost never,Strongly Agree(SA),Disagree(D),they become more exposed to reality,to change students attitude towards education,Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it makes students have the right attitude towards education and highier goals
68066,Teacher,Disagree(D),Agree(A),Agree(A),Agree(A),Agree(A),Disagree(D),Agree(A),Agree(A),give the students a driving force,Agree(A),Agree(A),Several times a month,Several times a month,Several times a month,A few times a year,Several times a week,Several times a day,Agree(A),Agree(A),gives students confidence,the students get an opportunity to hear from others with different experience,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),offer quality inspiration
68067,Teacher,Agree(A),Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),None,Agree(A),Strongly Agree(SA),About once a month,A few times a year,About once a month,Never or almost never,Several times a month,Several times a week,Strongly Agree(SA),Agree(A),None,None,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),None
68068,Teacher,Agree(A),Un Decided(UN),Disagree(D),Un Decided(UN),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),helps in our school by having enough revision material and enough chemicals for practical work,Agree(A),Un Decided(UN),Several times a month,About once a month,Several times a month,A few times a year,Several times a week,Several times a day,Strongly Agree(SA),Disagree(D),encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Agree(A),Agree(A),have postive influence on how learners have the interest on the area of specialization
68069,Teacher,Disagree(D),Disagree(D),Disagree(D),Disagree(D),Un Decided(UN),Un Decided(UN),Un Decided(UN),Un Decided(UN),enhances competition among student,Agree(A),Agree(A),Several times a month,Several times a month,Several times a week,About once a month,Several times a week,Several times a month,Un Decided(UN),Disagree(D),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),None
68070,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Disagree(D),Strongly Agree(SA),Agree(A),Agree(A),Un Decided(UN),None,Agree(A),Un Decided(UN),Several times a month,Never or almost never,A few times a year,Never or almost never,Several times a week,Several times a week,Agree(A),Un Decided(UN),help the student to learn more about their county,to add on the students experience,Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),it helps the student understand themselves better and hence self actualisation
68071,Teacher,Un Decided(UN),Agree(A),Un Decided(UN),Un Decided(UN),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),its the most effective method to motivate students,Un Decided(UN),Agree(A),Several times a week,A few times a year,About once a month,A few times a year,Several times a week,Several times a day,Agree(A),Un Decided(UN),have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Strongly Agree(SA),they give real life expereince of how they personally passed thus students gets inspired
68072,Teacher,Disagree(D),Disagree(D),Agree(A),Agree(A),Strongly Disagree(SD),Strongly Disagree(SD),Disagree(D),Agree(A),increases competition and urge to work harder,Strongly Agree(SA),Agree(A),A few times a year,Never or almost never,Several times a month,A few times a year,About once a month,Several times a month,Agree(A),Un Decided(UN),helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),these forum should be more regular throughout learners study from form one to form four
68073,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),acts as a motivation amongest students,Strongly Agree(SA),Strongly Agree(SA),About once a month,A few times a year,Never or almost never,Never or almost never,Several times a week,Never or almost never,Strongly Agree(SA),Strongly Disagree(SD),make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),they make the students have the motiv or develop positive attitude towards some challenging subjects
68074,Teacher,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Disagree(D),Disagree(D),Strongly Disagree(SD),Strongly Disagree(SD),None,Strongly Agree(SA),Strongly Agree(SA),Several times a month,A few times a year,Several times a week,About once a month,About once a month,Several times a week,Agree(A),Strongly Disagree(SD),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),help them overcome their limitations
68075,Teacher,Disagree(D),Agree(A),Agree(A),Disagree(D),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it has positive impact but may be shortlived,Strongly Agree(SA),Agree(A),About once a month,Never or almost never,About once a month,A few times a year,Several times a week,Several times a day,Strongly Agree(SA),Disagree(D),they become more exposed to reality,to change students attitude towards education,Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it makes students have the right attitude towards education and highier goals
68076,Teacher,Disagree(D),Agree(A),Agree(A),Agree(A),Agree(A),Disagree(D),Agree(A),Agree(A),give the students a driving force,Agree(A),Agree(A),A few times a year,A few times a year,Several times a month,About once a month,Several times a week,Several times a week,Agree(A),Agree(A),gives students confidence,the students get an opportunity to hear from others with different experience,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),offer quality inspiration
68077,Teacher,Agree(A),Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),None,Agree(A),Strongly Agree(SA),About once a month,Never or almost never,Several times a week,Never or almost never,Never or almost never,Never or almost never,Strongly Agree(SA),Agree(A),None,None,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),None
68078,Teacher,Agree(A),Un Decided(UN),Disagree(D),Un Decided(UN),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),helps in our school by having enough revision material and enough chemicals for practical work,Agree(A),Un Decided(UN),A few times a year,A few times a year,About once a month,About once a month,Several times a month,Several times a week,Strongly Agree(SA),Disagree(D),encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Agree(A),Agree(A),have postive influence on how learners have the interest on the area of specialization
68079,Teacher,Disagree(D),Disagree(D),Disagree(D),Disagree(D),Un Decided(UN),Un Decided(UN),Un Decided(UN),Un Decided(UN),enhances competition among student,Agree(A),Agree(A),Several times a month,Never or almost never,Several times a month,About once a month,Several times a month,Several times a day,Un Decided(UN),Disagree(D),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),None
68080,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Disagree(D),Strongly Agree(SA),Agree(A),Agree(A),Un Decided(UN),None,Agree(A),Un Decided(UN),Several times a month,Several times a month,Several times a week,Several times a month,Several times a week,Several times a day,Agree(A),Un Decided(UN),help the student to learn more about their county,to add on the students experience,Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),it helps the student understand themselves better and hence self actualisation
68081,Teacher,Un Decided(UN),Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),its the most effective method to motivate students,Un Decided(UN),Agree(A),Several times a week,Several times a month,About once a month,A few times a year,Several times a week,Several times a day,Agree(A),Un Decided(UN),have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Strongly Agree(SA),they give real life expereince of how they personally passed thus students gets inspired
68082,Teacher,Disagree(D),Disagree(D),Agree(A),Agree(A),Strongly Disagree(SD),Strongly Disagree(SD),Disagree(D),Agree(A),increases competition and urge to work harder,Strongly Agree(SA),Agree(A),Several times a month,A few times a year,About once a month,Several times a month,Several times a week,Several times a day,Agree(A),Un Decided(UN),helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),these forum should be more regular throughout learners study from form one to form four
68083,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),acts as a motivation amongest students,Strongly Agree(SA),Strongly Agree(SA),Several times a month,Never or almost never,Several times a week,About once a month,A few times a year,Several times a month,Strongly Agree(SA),Strongly Disagree(SD),make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),they make the students have the motiv or develop positive attitude towards some challenging subjects
68084,Teacher,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Disagree(D),Disagree(D),Strongly Disagree(SD),Strongly Disagree(SD),None,Strongly Agree(SA),Strongly Agree(SA),Several times a week,Never or almost never,A few times a year,Several times a week,Never or almost never,Several times a day,Agree(A),Strongly Disagree(SD),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),help them overcome their limitations
68085,Teacher,Disagree(D),Agree(A),Agree(A),Disagree(D),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it has positive impact but may be shortlived,Strongly Agree(SA),Agree(A),About once a month,A few times a year,Several times a month,Never or almost never,Several times a week,Several times a day,Strongly Agree(SA),Disagree(D),they become more exposed to reality,to change students attitude towards education,Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it makes students have the right attitude towards education and highier goals
68086,Teacher,Disagree(D),Agree(A),Agree(A),Agree(A),Agree(A),Disagree(D),Agree(A),Agree(A),give the students a driving force,Agree(A),Agree(A),A few times a year,Never or almost never,A few times a year,A few times a year,Several times a week,Several times a week,Agree(A),Agree(A),gives students confidence,the students get an opportunity to hear from others with different experience,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),offer quality inspiration
68087,Teacher,Agree(A),Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),None,Agree(A),Strongly Agree(SA),Several times a month,A few times a year,Several times a week,A few times a year,Several times a month,Several times a week,Strongly Agree(SA),Agree(A),None,None,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),None
68088,Teacher,Agree(A),Un Decided(UN),Disagree(D),Un Decided(UN),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),helps in our school by having enough revision material and enough chemicals for practical work,Agree(A),Un Decided(UN),About once a month,About once a month,About once a month,A few times a year,Several times a week,Several times a day,Strongly Agree(SA),Disagree(D),encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Agree(A),Agree(A),have postive influence on how learners have the interest on the area of specialization
68089,Teacher,Disagree(D),Disagree(D),Disagree(D),Disagree(D),Un Decided(UN),Un Decided(UN),Un Decided(UN),Un Decided(UN),enhances competition among student,Agree(A),Agree(A),About once a month,Never or almost never,About once a month,Several times a month,Several times a week,Several times a day,Un Decided(UN),Disagree(D),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),None
68090,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Disagree(D),Strongly Agree(SA),Agree(A),Agree(A),Un Decided(UN),None,Agree(A),Un Decided(UN),A few times a year,Never or almost never,A few times a year,A few times a year,About once a month,Several times a week,Agree(A),Un Decided(UN),help the student to learn more about their county,to add on the students experience,Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),it helps the student understand themselves better and hence self actualisation
68091,Teacher,Un Decided(UN),Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),its the most effective method to motivate students,Un Decided(UN),Agree(A),Several times a month,A few times a year,Several times a week,Several times a week,About once a month,Several times a month,Agree(A),Un Decided(UN),have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Strongly Agree(SA),they give real life expereince of how they personally passed thus students gets inspired
68092,Teacher,Disagree(D),Disagree(D),Agree(A),Agree(A),Strongly Disagree(SD),Strongly Disagree(SD),Disagree(D),Agree(A),increases competition and urge to work harder,Strongly Agree(SA),Agree(A),Several times a month,About once a month,A few times a year,About once a month,Several times a month,Several times a month,Agree(A),Un Decided(UN),helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),these forum should be more regular throughout learners study from form one to form four
68093,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),acts as a motivation amongest students,Strongly Agree(SA),Strongly Agree(SA),Several times a week,Never or almost never,A few times a year,A few times a year,Several times a week,Several times a week,Strongly Agree(SA),Strongly Disagree(SD),make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),they make the students have the motiv or develop positive attitude towards some challenging subjects
68094,Teacher,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Disagree(D),Disagree(D),Strongly Disagree(SD),Strongly Disagree(SD),None,Strongly Agree(SA),Strongly Agree(SA),Several times a month,Several times a week,Several times a month,About once a month,Several times a week,Several times a week,Agree(A),Strongly Disagree(SD),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),help them overcome their limitations
68095,Teacher,Disagree(D),Agree(A),Agree(A),Disagree(D),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it has positive impact but may be shortlived,Strongly Agree(SA),Agree(A),A few times a year,A few times a year,Several times a week,Never or almost never,About once a month,Several times a week,Strongly Agree(SA),Disagree(D),they become more exposed to reality,to change students attitude towards education,Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),it makes students have the right attitude towards education and highier goals
68096,Teacher,Disagree(D),Agree(A),Agree(A),Agree(A),Agree(A),Disagree(D),Agree(A),Agree(A),give the students a driving force,Agree(A),Agree(A),Several times a week,Several times a month,A few times a year,Several times a month,Several times a month,Several times a day,Agree(A),Agree(A),gives students confidence,the students get an opportunity to hear from others with different experience,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),offer quality inspiration
68097,Teacher,Agree(A),Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),None,Agree(A),Strongly Agree(SA),A few times a year,Several times a month,Several times a month,Several times a week,Several times a week,Several times a week,Strongly Agree(SA),Agree(A),None,None,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Strongly Agree(SA),None
