,CNT,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST28Q10,ST28Q11,ST25Q01,ST25Q02,ST25Q03,ST25Q04,ST25Q05,ST26Q01,ST26Q02,ST26Q03,ST26Q04,ST26Q05,ST26Q06,ST26Q07,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST28Q09
68060,Teacher,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,UnDecided,help the student to learn more about their county,to add on the students experience,Strongly  Agree,Agree,Agree,Strongly  Agree,Agree,it helps the student understand themselves better and hence self actualisation,None
68061,Teacher,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly  Agree,Agree,Agree,Agree,Agree,UnDecided,have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree,Agree,Agree,Strongly  Agree,Strongly  Agree,they give real life expereince of how they personally passed thus students gets inspired,its the most effective method to motivate students
68062,Teacher,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly Disagree,Agree,UnDecided,Agree,UnDecided,helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree,Agree,Agree,Agree,Agree,these forum should be more regular throughout learners study from form one to form four,increases competition and urge to work harder
68063,Teacher,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Disagree,Strongly  Agree,Strongly  Agree,Strongly Disagree,make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,they make the students have the motiv or develop positive attitude towards some challenging subjects,acts as a motivation amongest students
68064,Teacher,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,None,None,Agree,Agree,Agree,Agree,Agree,help them overcome their limitations,None
68065,Teacher,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly  Agree,Strongly  Agree,Agree,Agree,Strongly  Agree,Disagree,they become more exposed to reality,to change students attitude towards education,Agree,Agree,Strongly  Agree,Agree,Agree,it makes students have the right attitude towards education and highier goals,it has positive impact but may be shortlived
68066,Teacher,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,gives students confidence,the students get an opportunity to hear from others with different experience,Agree,Agree,Agree,Agree,Agree,offer quality inspiration,give the students a driving force
68067,Teacher,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly  Agree,Agree,None,None,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,None,None
68068,Teacher,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,UnDecided,Agree,Agree,Agree,Strongly  Agree,Disagree,encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly  Agree,Strongly  Agree,Agree,Agree,Agree,have postive influence on how learners have the interest on the area of specialization,helps in our school by having enough revision material and enough chemicals for practical work
68069,Teacher,Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,UnDecided,Agree,Agree,UnDecided,Disagree,None,None,Agree,Agree,Agree,Agree,Agree,None,enhances competition among student
68070,Teacher,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,UnDecided,help the student to learn more about their county,to add on the students experience,Strongly  Agree,Agree,Agree,Strongly  Agree,Agree,it helps the student understand themselves better and hence self actualisation,None
68071,Teacher,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Strongly  Agree,Agree,Agree,Agree,Agree,UnDecided,have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree,Agree,Agree,Strongly  Agree,Strongly  Agree,they give real life expereince of how they personally passed thus students gets inspired,its the most effective method to motivate students
68072,Teacher,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,UnDecided,Agree,UnDecided,helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree,Agree,Agree,Agree,Agree,these forum should be more regular throughout learners study from form one to form four,increases competition and urge to work harder
68073,Teacher,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Disagree,Strongly  Agree,Strongly  Agree,Strongly Disagree,make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,they make the students have the motiv or develop positive attitude towards some challenging subjects,acts as a motivation amongest students
68074,Teacher,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,None,None,Agree,Agree,Agree,Agree,Agree,help them overcome their limitations,None
68075,Teacher,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly  Agree,Strongly  Agree,Agree,Agree,Strongly  Agree,Disagree,they become more exposed to reality,to change students attitude towards education,Agree,Agree,Strongly  Agree,Agree,Agree,it makes students have the right attitude towards education and highier goals,it has positive impact but may be shortlived
68076,Teacher,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,gives students confidence,the students get an opportunity to hear from others with different experience,Agree,Agree,Agree,Agree,Agree,offer quality inspiration,give the students a driving force
68077,Teacher,Strongly disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly  Agree,Agree,None,None,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,None,None
68078,Teacher,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,UnDecided,Agree,Agree,Agree,Strongly  Agree,Disagree,encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly  Agree,Strongly  Agree,Agree,Agree,Agree,have postive influence on how learners have the interest on the area of specialization,helps in our school by having enough revision material and enough chemicals for practical work
68079,Teacher,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,UnDecided,Agree,Agree,UnDecided,Disagree,None,None,Agree,Agree,Agree,Agree,Agree,None,enhances competition among student
68080,Teacher,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,UnDecided,help the student to learn more about their county,to add on the students experience,Strongly  Agree,Agree,Agree,Strongly  Agree,Agree,it helps the student understand themselves better and hence self actualisation,None
68081,Teacher,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Strongly  Agree,Agree,Agree,Agree,Agree,UnDecided,have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree,Agree,Agree,Strongly  Agree,Strongly  Agree,they give real life expereince of how they personally passed thus students gets inspired,its the most effective method to motivate students
68082,Teacher,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,UnDecided,Agree,UnDecided,helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree,Agree,Agree,Agree,Agree,these forum should be more regular throughout learners study from form one to form four,increases competition and urge to work harder
68083,Teacher,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Disagree,Strongly  Agree,Strongly  Agree,Strongly Disagree,make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,they make the students have the motiv or develop positive attitude towards some challenging subjects,acts as a motivation amongest students
68084,Teacher,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,None,None,Agree,Agree,Agree,Agree,Agree,help them overcome their limitations,None
68085,Teacher,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly  Agree,Strongly  Agree,Agree,Agree,Strongly  Agree,Disagree,they become more exposed to reality,to change students attitude towards education,Agree,Agree,Strongly  Agree,Agree,Agree,it makes students have the right attitude towards education and highier goals,it has positive impact but may be shortlived
68086,Teacher,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,gives students confidence,the students get an opportunity to hear from others with different experience,Agree,Agree,Agree,Agree,Agree,offer quality inspiration,give the students a driving force
68087,Teacher,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly  Agree,Agree,None,None,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,None,None
68088,Teacher,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,UnDecided,Agree,Agree,Agree,Strongly  Agree,Disagree,encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly  Agree,Strongly  Agree,Agree,Agree,Agree,have postive influence on how learners have the interest on the area of specialization,helps in our school by having enough revision material and enough chemicals for practical work
68089,Teacher,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,UnDecided,Agree,Agree,UnDecided,Disagree,None,None,Agree,Agree,Agree,Agree,Agree,None,enhances competition among student
68090,Teacher,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,UnDecided,help the student to learn more about their county,to add on the students experience,Strongly  Agree,Agree,Agree,Strongly  Agree,Agree,it helps the student understand themselves better and hence self actualisation,None
68091,Teacher,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly  Agree,Agree,Agree,Agree,Agree,UnDecided,have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree,Agree,Agree,Strongly  Agree,Strongly  Agree,they give real life expereince of how they personally passed thus students gets inspired,its the most effective method to motivate students
68092,Teacher,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly Disagree,Agree,UnDecided,Agree,UnDecided,helps learners to have a teamwork feelings;more co-operation,add skills toward examination approaches by boostingbpreparedness and reducing anxiety.,Agree,Agree,Agree,Agree,Agree,these forum should be more regular throughout learners study from form one to form four,increases competition and urge to work harder
68093,Teacher,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Disagree,Strongly  Agree,Strongly  Agree,Strongly Disagree,make them improve in all subjects for better results so that one can be considered for trip,they touch on important parts thus making the students to improve in their performance,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,they make the students have the motiv or develop positive attitude towards some challenging subjects,acts as a motivation amongest students
68094,Teacher,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,None,None,Agree,Agree,Agree,Agree,Agree,help them overcome their limitations,None
68095,Teacher,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly  Agree,Strongly  Agree,Agree,Agree,Strongly  Agree,Disagree,they become more exposed to reality,to change students attitude towards education,Agree,Agree,Strongly  Agree,Agree,Agree,it makes students have the right attitude towards education and highier goals,it has positive impact but may be shortlived
68096,Teacher,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,gives students confidence,the students get an opportunity to hear from others with different experience,Agree,Agree,Agree,Agree,Agree,offer quality inspiration,give the students a driving force
68097,Teacher,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly  Agree,Agree,None,None,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,None,None
68098,Student,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly  Agree,Strongly  Agree,UnDecided,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,by helping one to know many places to succed in life,students are encouraged and thus aspire to be like them,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,Agree,they help students to change their minds about some subjects,None
68099,Student,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,UnDecided,Agree,Agree,Strongly  Agree,Agree,None,None,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,None,None
68100,Student,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly  Agree,Strongly  Agree,UnDecided,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,by helping one to know many places to succed in life,students are encouraged and thus aspire to be like them,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,Agree,they help students to change their minds about some subjects,None
68101,Student,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly  Agree,Agree,Agree,Agree,Agree,Strongly  Agree,they improve understanding of various concepts and processes since they involve hands on activities,it is important in changing the attitude of students towards some subjects,Disagree,Agree,Disagree,Agree,Agree,students are able to see them as role model hence yearn to work hard to become like them,the promote competition among students
68102,Student,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,None,None,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,they motivate both the student and the teacher who listen at a personal level,they are able to cater for pety academic expences eg buying of literature books
68103,Student,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,they assist students get exposed to areas that can motivate them eg visiting higher instutions,its cost effective,Agree,Agree,Agree,Agree,Agree,they uplifts the morale of students on performance and helps them view life positively,they don't because money is spent on issues that are not of academic nature e.g buying bread
68104,Student,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly  Agree,Strongly  Agree,Agree,students want to go out and they work very hard to improve,to give them confidence in life and for aademic reasons,Strongly  Agree,Agree,Agree,Agree,Agree,student are able to realize a lot of what they do is common in institutions and assist in guiding,brings competition for the reward
68105,Student,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,students are exposed to live situations and the knowledge gained can be applied in class,because they motivate students to work hard hence contributing to good perfomance,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,Agree,they give hope and faith to students through their experiences thus encouraging those are discourged,it makes the students feel appretiated for their good work hence they are motivated to continue work
68106,Student,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Strongly  Agree,Agree,Strongly  Agree,Agree,Agree,Disagree,exposure is has a good (lasting) eefect in learning,getting information from others despite teachers in a fresh approach and students listen carefully,Disagree,Agree,Agree,Agree,Agree,students get encouraged when they hear of success stories,None
68107,Student,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly  Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly  Agree,Strongly Disagree,they enable students to work hard,students develop positive attitude towards their studies,Strongly  Agree,Disagree,Strongly  Agree,Agree,Agree,they should be visiting schools,it increase competition among the student
68108,Student,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,UnDecided,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,UnDecided,students work harder,give hope and encourgement to students to perform best,Strongly  Agree,Agree,UnDecided,Strongly  Agree,Strongly  Agree,improves students behviour and discipline hence better academic achievement,motivated students perform always
68109,Student,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,None,shows students all is possible despite hard situations,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,None,None
68110,Student,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly  Agree,Strongly  Agree,Strongly  Agree,Agree,Strongly  Agree,Strongly  Agree,Strongly Disagree,None,None,Agree,22,Agree,Strongly  Agree,Strongly  Agree,changes some students attitude towards academic and raise the spirit to work hard,students are inspired to work hard to receive rewards
